election,election_year,constituency_id,constituency_name,center_no,center,gender,lat,lon,map_link,total_voters,participant_1_name,participant_1_symbol,participant_1_vote,participant_2_name,participant_2_symbol,participant_2_vote,participant_3_name,participant_3_symbol,participant_3_vote,participant_4_name,participant_4_symbol,participant_4_vote,total_valid_votes,total_invalid_votes,total_votes_cast,turnout_percentage
7,1996,201,Chittagong-1,1,Chittagong Government High School,both,22.3569,91.7832,http://google.com/maps/place/Chittagong+Government+High+School,1850,Abdul Karim,Boat,1200,Mohammad Ali,Rice Sheaf,450,Hasan Rahman,Plough,150,Mustafa Ahmed,Minaret,25,1825,18,1843,89
7,1996,201,Chittagong-1,2,Chittagong College,both,22.3456,91.7945,http://google.com/maps/place/Chittagong+College,2100,Abdul Karim,Boat,1450,Mohammad Ali,Rice Sheaf,520,Hasan Rahman,Plough,180,Mustafa Ahmed,Minaret,30,2180,22,2202,80
7,1996,201,Chittagong-1,3,Chittagong Girls High School,female,22.3345,91.8056,http://google.com/maps/place/Chittagong+Girls+High+School,1650,Abdul Karim,Boat,1100,Mohammad Ali,Rice Sheaf,380,Hasan Rahman,Plough,120,Mustafa Ahmed,Minaret,20,1620,15,1635,88
7,1996,202,Sylhet-2,1,Sylhet Government College,both,24.8992,91.8712,http://google.com/maps/place/Sylhet+Government+College,1950,Ahmed Hossain,Boat,1350,Kamal Uddin,Rice Sheaf,480,Rashid Ali,Plough,160,Mohammad Shahid,Minaret,25,2015,20,2035,70
7,1996,202,Sylhet-2,2,Sylhet M.C. College,male,24.8889,91.8823,http://google.com/maps/place/Sylhet+M.C.+College,1750,Ahmed Hossain,Boat,1180,Kamal Uddin,Rice Sheaf,420,Rashid Ali,Plough,130,Mohammad Shahid,Minaret,20,1750,15,1765,75
7,1996,202,Sylhet-2,3,Osmani Memorial High School,female,24.8778,91.8934,http://google.com/maps/place/Osmani+Memorial+High+School,1550,Ahmed Hossain,Boat,1020,Kamal Uddin,Rice Sheaf,380,Rashid Ali,Plough,120,Mohammad Shahid,Minaret,18,1538,12,1550,59
11,2018,201,Chittagong-1,1,Chittagong Government High School,both,22.3569,91.7832,http://google.com/maps/place/Chittagong+Government+High+School,1920,Salim Osman,Boat,1250,Masud Uddin,Rice Sheaf,480,Abdul Hai,Rice,150,Mohammad Shafiqur Rahman,Car,25,1905,18,1923,67
11,2018,201,Chittagong-1,2,Chittagong College,both,22.3456,91.7945,http://google.com/maps/place/Chittagong+College,2180,Salim Osman,Boat,1500,Masud Uddin,Rice Sheaf,550,Abdul Hai,Rice,180,Mohammad Shafiqur Rahman,Car,30,2260,25,2285,87
11,2018,202,Sylhet-2,1,Sylhet Government College,both,24.8992,91.8712,http://google.com/maps/place/Sylhet+Government+College,2050,Monir Hossain,Boat,1480,Kamal Uddin,Rice Sheaf,520,Jamal Uddin,Rice,170,Saiful Islam,Car,28,2198,22,2220,86
11,2018,202,Sylhet-2,2,Sylhet M.C. College,male,24.8889,91.8823,http://google.com/maps/place/Sylhet+M.C.+College,1850,Abdur Rahman,Boat,1320,Mokhlesur Rahman,Rice Sheaf,480,Harun Ar Rashid,Rice,160,Mohammad Farid,Car,25,1985,18,2003,96
11,2018,203,Rajshahi-3,1,Rajshahi College,both,24.3745,88.6042,http://google.com/maps/place/Rajshahi+College,1980,Abdul Kader,Boat,1380,Mahmudul Haque,Rice Sheaf,500,Rafiqul Islam,Rice,170,Mohammad Rashed,Car,28,2078,20,2098,80
11,2018,203,Rajshahi-3,2,Rajshahi Government High School,male,24.3634,88.6153,http://google.com/maps/place/Rajshahi+Government+High+School,1780,Abdul Kader,Boat,1200,Mahmudul Haque,Rice Sheaf,450,Rafiqul Islam,Rice,150,Mohammad Rashed,Car,25,1825,15,1840,75

